District,pH,N,P,K,Rainfall,District
Bagalkot,6.2,125,32,255,800,Bagalkot
Ballari,6.0,130,34,265,650,Ballari
Belagavi,6.1,120,30,250,700,Belagavi
Bengaluru Rural,6.5,115,28,240,900,Bengaluru Rural
Bengaluru Urban,6.5,120,30,250,900,Bengaluru Urban
Bidar,6.3,110,29,245,700,Bidar
Chamarajanagar,6.4,125,31,260,850,Chamarajanagar
Chikkamagaluru,6.2,115,28,240,900,Chikkamagaluru
Chikkaballapura,6.1,120,29,255,750,Chikkaballapura
Chitradurga,6.4,130,30,260,700,Chitradurga
Dakshina Kannada,6.3,125,32,255,4000,Dakshina Kannada
Davanagere,6.2,120,31,250,800,Davanagere
Dharwad,6.1,115,30,245,700,Dharwad
Gadag,6.3,130,33,265,650,Gadag
Hassan,6.2,125,29,260,850,Hassan
Haveri,6.4,120,30,255,750,Haveri
Kalaburagi,6.3,130,32,265,600,Kalaburagi
Kodagu,6.1,115,28,240,4500,Kodagu
Kolar,6.5,125,31,260,750,Kolar
Koppal,6.0,120,29,255,650,Koppal
Mandya,6.4,130,32,270,800,Mandya
Mysuru,6.2,125,31,260,800,Mysuru
Raichur,6.0,120,30,250,700,Raichur
Ramanagara,6.1,115,28,245,850,Ramanagara
Shimoga,6.3,130,32,270,900,Shimoga
Tumakuru,6.4,125,30,265,800,Tumakuru
Udupi,6.2,130,32,250,4500,Udupi
Uttar Kannada,6.3,125,30,260,4000,Uttar Kannada
Vijayapura,6.1,120,31,255,650,Vijayapura
Vijayanagara,6.4,130,33,270,700,Vijayanagara
District,pH,N,P,K,Rainfall,District